old_name,new_name,old_name_alt,new_name_alt,type,region,district,year_from,year_to,reason,period,source,latitude,longitude,notes
Дніпропетровськ,Дніпро,Dnipropetrovsk;Днепропетровск,Dnipro;Дніпро,місто,Дніпропетровська область,,1926,2016,декомунізація,незалежність,Постанова ВРУ,48.4647,35.0462,Обласний центр
Кіровоград,Кропивницький,Kirovograd;Кировоград,Kropyvnytskyi,місто,Кіровоградська область,,1939,2016,декомунізація,незалежність,Постанова ВРУ,48.5132,32.2597,Обласний центр
Артемівськ,Бахмут,Artemivsk;Артёмовск,Bakhmut;Бахмут,місто,Донецька область,Бахмутський район,1924,2016,декомунізація,незалежність,Постанова ВРУ,48.5953,38.0008,Історична назва
Красноармійськ,Покровськ,Krasnoarmiisk;Красноармейск,Pokrovsk,місто,Донецька область,Покровський район,1938,2016,декомунізація,незалежність,Постанова ВРУ,48.2833,37.1833,
Дзержинськ,Торецьк,Dzerzhinsk;Дзержинск,Toretsk,місто,Донецька область,Бахмутський район,1938,2016,декомунізація,незалежність,Постанова ВРУ,48.4000,37.8500,
Іллічівськ,Чорноморськ,Illichivsk;Ильичёвск,Chornomorsk,місто,Одеська область,,1973,2016,декомунізація,незалежність,Постанова ВРУ,46.3000,30.6500,Портове місто
Комсомольськ,Горішні Плавні,Komsomolsk;Комсомольск,Horishni Plavni,місто,Полтавська область,,1960,2016,декомунізація,незалежність,Постанова ВРУ,49.0167,33.6333,
Котовськ,Подільськ,Kotovsk;Котовск,Podilsk,місто,Одеська область,,1935,2016,декомунізація,незалежність,Постанова ВРУ,47.8167,29.0333,
Червонопартизанськ,Вознесенівка,Chervonohrad,,місто,Луганська область,,1938,2016,декомунізація,незалежність,Постанова ВРУ,48.1167,39.6333,
Красний Луч,Хрустальний,Krasny Luch;Красный Луч,Khrustalnyi,місто,Луганська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ,48.1333,38.9333,
Красний Лиман,Лиман,Krasny Lyman;Красный Лиман,Lyman,місто,Донецька область,Краматорський район,1938,2016,декомунізація,незалежність,Постанова ВРУ,48.9833,37.8000,
